IID	FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
IRIS_313.11817	IRIS_313.11817	0.0286515	-0.0169741	-0.00155832	-0.0109777	-0.000398656	0.0135743	0.0639025	0.00117068
IRIS_313.11848	IRIS_313.11848	0.0276549	-0.0137081	0.0017397	0.030027	0.00698244	0.00534339	0.0935441	0.0361377
IRIS_313.11868	IRIS_313.11868	0.0311045	-0.016937	-0.000709964	-0.0363577	-0.00165299	0.0411791	0.0171193	0.0413825
IRIS_313.12063	IRIS_313.12063	-0.0594802	-0.00545003	0.0326405	-0.0029397	0.0057727	0.00318321	0.0049075	0.000695263
IRIS_313.12068	IRIS_313.12068	-0.052061	-0.00304172	0.102621	-0.00738612	-0.0427485	0.00637952	0.00838443	0.00464985
IRIS_313.12269	IRIS_313.12269	0.0324786	0.00392414	-0.00180221	0.026499	-0.00715744	0.0222306	0.0845173	0.0423456
IRIS_313.12272	IRIS_313.12272	-0.0553144	-0.00352839	0.0965213	-0.00313288	-0.0354007	0.00122283	-0.00204535	0.00565716
IRIS_313.12290	IRIS_313.12290	0.0318188	-0.0140996	0.00306741	0.00613117	-0.00123031	0.0215665	0.0766785	-0.0080344
IRIS_313.12300	IRIS_313.12300	0.0329242	-0.0140076	-0.0030888	-0.0120547	-0.000302929	0.0265072	0.0681393	-0.0104093
IRIS_313.12324	IRIS_313.12324	-0.0603021	-0.00698537	0.0306392	-0.00364099	0.00410616	0.000556785	0.00334183	-0.00258563
IRIS_313.12348	IRIS_313.12348	-0.0597521	-0.00606863	0.0429896	0.000643708	-0.0057002	0.00214552	0.000682427	0.00144238
IRIS_313.9320	IRIS_313.9320	0.0295331	-0.0135577	0.00401296	0.028657	0.00338941	-0.00482189	0.0946554	0.0263707
W001	W001	0.0326896	-0.017325	-0.00488755	-0.0507924	-0.000391562	0.0486648	-0.00468083	-0.0502044
W002	W002	-0.053627	-0.00351345	0.10436	-0.00556281	-0.0315079	0.002041	-0.00808992	0.00206049
W003	W003	-0.0584504	-0.00575876	0.0570118	-0.00534623	-0.000306144	0.000694629	0.00463001	-0.00386868
W004	W004	-0.0549748	-0.00225163	0.116094	-0.00690426	-0.0338771	0.00089605	-0.00488392	0.00465119
